Date,SettlementPoint,Price,Month,Year
2016-01-01 00:00:00,HB_NORTH,18.43,1,2016
2016-01-01 01:00:00,HB_NORTH,16.17,1,2016
2016-01-01 02:00:00,HB_NORTH,15.64,1,2016
2016-01-01 03:00:00,HB_NORTH,15.65,1,2016
2016-01-01 04:00:00,HB_NORTH,15.97,1,2016
2016-01-01 05:00:00,HB_NORTH,16.74,1,2016
2016-01-01 06:00:00,HB_NORTH,18.98,1,2016
2016-01-01 07:00:00,HB_NORTH,19.19,1,2016
2016-01-01 08:00:00,HB_NORTH,19.10,1,2016
2016-01-01 09:00:00,HB_NORTH,19.69,1,2016
2016-01-01 10:00:00,HB_NORTH,20.62,1,2016
2016-01-01 11:00:00,HB_NORTH,20.63,1,2016
2016-01-01 12:00:00,HB_NORTH,20.32,1,2016
2016-01-01 13:00:00,HB_NORTH,20.07,1,2016
2016-01-01 14:00:00,HB_NORTH,19.10,1,2016
2016-01-01 15:00:00,HB_NORTH,19.35,1,2016
2016-01-01 16:00:00,HB_NORTH,20.07,1,2016
2016-01-01 17:00:00,HB_NORTH,25.00,1,2016
2016-01-01 18:00:00,HB_NORTH,26.30,1,2016
2016-01-01 19:00:00,HB_NORTH,23.28,1,2016
2016-01-01 20:00:00,HB_NORTH,22.82,1,2016
2016-01-01 21:00:00,HB_NORTH,21.38,1,2016
2016-01-01 22:00:00,HB_NORTH,20.33,1,2016
2016-01-01 23:00:00,HB_NORTH,19.67,1,2016
2016-01-02 00:00:00,HB_NORTH,19.00,1,2016
2016-01-02 01:00:00,HB_NORTH,17.95,1,2016
2016-01-02 02:00:00,HB_NORTH,17.17,1,2016
2016-01-02 03:00:00,HB_NORTH,17.01,1,2016
2016-01-02 04:00:00,HB_NORTH,17.91,1,2016
2016-01-02 05:00:00,HB_NORTH,17.66,1,2016
2016-01-02 06:00:00,HB_NORTH,20.12,1,2016
2016-01-02 07:00:00,HB_NORTH,21.36,1,2016
2016-01-02 08:00:00,HB_NORTH,23.48,1,2016
2016-01-02 09:00:00,HB_NORTH,24.97,1,2016
2016-01-02 10:00:00,HB_NORTH,23.46,1,2016
2016-01-02 11:00:00,HB_NORTH,21.86,1,2016
2016-01-02 12:00:00,HB_NORTH,20.80,1,2016
2016-01-02 13:00:00,HB_NORTH,19.68,1,2016
2016-01-02 14:00:00,HB_NORTH,18.29,1,2016
2016-01-02 15:00:00,HB_NORTH,17.96,1,2016
2016-01-02 16:00:00,HB_NORTH,19.35,1,2016
2016-01-02 17:00:00,HB_NORTH,23.53,1,2016
2016-01-02 18:00:00,HB_NORTH,23.52,1,2016
2016-01-02 19:00:00,HB_NORTH,21.75,1,2016
2016-01-02 20:00:00,HB_NORTH,20.74,1,2016
